data,valor,dt_etl
01/02/1980,4.62,03/11/2024
01/03/1980,6.04,03/11/2024
01/04/1980,5.29,03/11/2024
01/05/1980,5.7,03/11/2024
01/06/1980,5.31,03/11/2024
01/07/1980,5.55,03/11/2024
01/08/1980,4.95,03/11/2024
01/09/1980,4.23,03/11/2024
01/10/1980,9.48,03/11/2024
01/11/1980,6.67,03/11/2024
01/12/1980,6.61,03/11/2024
01/01/1981,6.84,03/11/2024
01/02/1981,6.4,03/11/2024
01/03/1981,4.97,03/11/2024
01/04/1981,6.46,03/11/2024
01/05/1981,5.56,03/11/2024
01/06/1981,5.52,03/11/2024
01/07/1981,6.26,03/11/2024
01/08/1981,5.5,03/11/2024
01/09/1981,5.26,03/11/2024
01/10/1981,5.08,03/11/2024
01/11/1981,5.27,03/11/2024
01/12/1981,5.93,03/11/2024
01/01/1982,6.97,03/11/2024
01/02/1982,6.64,03/11/2024
01/03/1982,5.71,03/11/2024
01/04/1982,5.89,03/11/2024
01/05/1982,6.66,03/11/2024
01/06/1982,7.1,03/11/2024
01/07/1982,6.36,03/11/2024
01/08/1982,5.97,03/11/2024
01/09/1982,5.08,03/11/2024
01/10/1982,4.44,03/11/2024
01/11/1982,5.29,03/11/2024
01/12/1982,7.81,03/11/2024
01/01/1983,8.64,03/11/2024
01/02/1983,7.86,03/11/2024
01/03/1983,7.34,03/11/2024
01/04/1983,6.58,03/11/2024
01/05/1983,6.48,03/11/2024
01/06/1983,9.88,03/11/2024
01/07/1983,10.08,03/11/2024
01/08/1983,9.11,03/11/2024
01/09/1983,10.3,03/11/2024
01/10/1983,8.87,03/11/2024
01/11/1983,7.38,03/11/2024
01/12/1983,8.68,03/11/2024
01/01/1984,9.67,03/11/2024
01/02/1984,9.5,03/11/2024
01/03/1984,8.94,03/11/2024
01/04/1984,9.54,03/11/2024
01/05/1984,9.05,03/11/2024
01/06/1984,10.08,03/11/2024
01/07/1984,9.72,03/11/2024
01/08/1984,9.35,03/11/2024
01/09/1984,11.75,03/11/2024
01/10/1984,10.44,03/11/2024
01/11/1984,10.53,03/11/2024
01/12/1984,11.98,03/11/2024
01/01/1985,11.76,03/11/2024
01/02/1985,10.87,03/11/2024
01/03/1985,10.16,03/11/2024
01/04/1985,8.2,03/11/2024
01/05/1985,7.2,03/11/2024
01/06/1985,8.49,03/11/2024
01/07/1985,10.31,03/11/2024
01/08/1985,12.05,03/11/2024
01/09/1985,11.12,03/11/2024
01/10/1985,10.62,03/11/2024
01/11/1985,13.97,03/11/2024
01/12/1985,15.07,03/11/2024
01/01/1986,14.37,03/11/2024
01/02/1986,12.72,03/11/2024
01/03/1986,4.77,03/11/2024
01/04/1986,0.78,03/11/2024
01/05/1986,1.4,03/11/2024
01/06/1986,1.27,03/11/2024
01/07/1986,1.71,03/11/2024
01/08/1986,3.55,03/11/2024
01/09/1986,1.72,03/11/2024
01/10/1986,1.9,03/11/2024
01/11/1986,5.45,03/11/2024
